Log_ID;Log_Date;Log_Level;Log_Source;User;Controller;Action;Log_Message;Exception
10998100;2026-05-07 23:52:06.097;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998099;2026-05-07 23:52:06.093;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998098;2026-05-07 23:52:06.087;ERROR;BizSMS.Helpers.Logger;;Token;Login;The controller for path '/Token' was not found or does not implement IController.;
10998097;2026-05-07 23:52:05.240;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998096;2026-05-07 23:52:05.237;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998095;2026-05-07 23:52:05.233;ERROR;BizSMS.Helpers.Logger;;Startup;Register;The controller for path '/Startup/Register' was not found or does not implement IController.;
10998094;2026-05-07 23:51:15.413;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998093;2026-05-07 23:51:10.837;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998092;2026-05-07 23:50:59.107;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998091;2026-05-07 23:50:59.097;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998090;2026-05-07 23:50:59.097;ERROR;BizSMS.Helpers.Logger;;api;data;The controller for path '/api/data' was not found or does not implement IController.;
10998089;2026-05-07 23:50:52.270;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998088;2026-05-07 23:50:52.263;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998087;2026-05-07 23:50:52.257;ERROR;BizSMS.Helpers.Logger;;WebInterface;Login;The controller for path '/WebInterface/' was not found or does not implement IController.;
10998086;2026-05-07 23:50:45.223;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998085;2026-05-07 23:50:45.220;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998084;2026-05-07 23:50:45.217;ERROR;BizSMS.Helpers.Logger;;login;Login;The controller for path '/login' was not found or does not implement IController.;
